,author,creation_date,expiry,last_reply,parent_category,price,replies,saving,source,thread_category,title,url,views,votes
24,immad01,"Jul 10th, 2020 10:30 am","July 16, 2020","Jul 10th, 2020 2:40 pm",,$14.99,11,,Canadian Tire,Home & Garden,"Feit Electric LED Shop Light 1850 Lumens and 4000K, 4-ft for $14.99",https://www.canadiantire.ca/en/pdp/feit-electric-led-shop-light-4-ft-1522598p.html,2391,4
25,unshavenyak,"May 17th, 2020 12:40 pm",,"Jul 10th, 2020 2:34 pm",Home & Garden,$287.99,135,26%,Bed Bath And Beyond,Appliances,[Hot] Baratza Sette 30 Conical Burr Grinder - $287.99,http://www.anrdoezrs.net/click-749547-13347068?url=https%3A%2F%2Fwww.bedbathandbeyond.ca%2Fstore%2Fproduct%2Fbaratza-sette-30-conical-burr-grinder-in-black-grey%2F5382833%3Fkeyword%3Dbaratza-sette-30&amp;sid=rfdcb,31072,16
26,TheKnee,"Jul 5th, 2020 10:04 am","July 8, 2020","Jul 10th, 2020 2:31 pm",,246.71,41,17.76%,,Home & Garden,Shark Rocket Pet Pro Cordless Stick Vacuum |$246.71,https://checkout.sharkclean.com/exclusive-offer/IZ162HWBKT/shark-rocket-pet-pro-cordless-stick-vacuum-with-self-cleaning-brushroll/,7459,12
27,chongb,"Jul 10th, 2020 11:05 am",,"Jul 10th, 2020 2:22 pm",Computers & Electronics,599,9,,Dell,Computers & Tablets/eReaders,"Inspiron Desktop [i5-9400] 8GB ram , 256GB M.2 PCIe NVMe SSD + 1TB SATA HD $599 ($539 w Unidays) (8% Rakuten ~$496)",http://www.dpbolvw.net/click-749547-12105225?url=https%3A%2F%2Fdeals.dell.com%2Fen-ca%2Fproductdetail%2F4zar&amp;sid=rfdcb,2431,6
28,DykeLuca647,"Jul 9th, 2020 9:38 am",,"Jul 10th, 2020 2:17 pm",Computers & Electronics,,55,,,Telecom,Special Internet Plan 150 M for $44.98/m for Carrytel Customer,https://www.facebook.com/CanNetTelecom/posts/1334658406925408,6022,-11
29,slayerwulf,"Jun 20th, 2020 6:27 pm",,"Jul 10th, 2020 2:07 pm",Computers & Electronics,,37,,,Cell Phones,Videotron *Ottawa Only* $10 off permanent bill credit,,7548,10
0,bst,"Jun 27th, 2020 9:55 pm","June 28, 2020","Jul 10th, 2020 1:54 pm",Home & Garden,584,60,,,Appliances,[ON Only] Samsung Front Load Washer & Dryer (Stainless Platinum) $584 each,,13945,-17
1,whysignup,"Jun 27th, 2020 5:07 pm",,"Jul 10th, 2020 1:53 pm",Computers & Electronics,40,82,80% off,Fido,Cell Phones,"7 GB FOR $40/mo for 12 months - BYOD - NO CONTRACT (Existing customers only, YMMV)",http://www.fido.ca/add-a-line/phone-plans,34996,-6
2,cpfan,"Jul 2nd, 2020 3:47 pm",,"Jul 10th, 2020 1:30 pm",Home & Garden,138,19,$40 off,Home Depot,Home Improvement & Tools,Ryobi Cordless Power Cleaner is price $178 or $138? YMMV,https://the-home-depot-ca.pxf.io/c/341376/583694/9526?u=https://www.homedepot.ca/product/ryobi-18v-one-320-psi-0-8-gpm-cold-water-cordless-power-cleaner-with-4-0-ah-battery/1001487537,7456,1
3,Nexzen,"Jul 8th, 2020 2:38 pm",,"Jul 10th, 2020 1:25 pm",Entertainment,,23,,,"Books, Music, Movies, Magazines",3 Months Free Amazon Music Unlimited,,4507,11
